step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
100,TRANSFER,10000000.00,C9000000001,10000000.00,0.00,C9000000002,0.00,10000000.00,0,1
100,CASH_OUT,10000000.00,C9000000002,10000000.00,0.00,C9000000003,0.00,10000000.00,0,1
105,PAYMENT,0.01,C9000000004,100.00,99.99,M9000000001,0.00,0.00,0,0
105,DEBIT,0.01,C9000000005,50.00,49.99,C9000000006,0.00,0.01,0,0
110,TRANSFER,9999999.99,C9000000007,10000000.00,0.01,C9000000008,0.00,9999999.99,1,0
110,CASH_OUT,9999999.99,C9000000008,9999999.99,0.00,C9000000009,0.00,9999999.99,1,0
115,PAYMENT,5000.00,C9000000010,5000.00,0.00,M9000000002,0.00,0.00,0,0
115,TRANSFER,0.00,C9000000011,1000.00,1000.00,C9000000012,500.00,500.00,0,0
120,CASH_OUT,500000.00,C9000000013,500000.00,0.00,C9000000014,0.00,500000.00,0,0
120,PAYMENT,10000.00,C9000000014,500000.00,490000.00,M9000000003,0.00,0.00,0,0
125,TRANSFER,7500000.00,C9000000015,8000000.00,500000.00,C9000000016,0.00,7500000.00,1,0
125,CASH_OUT,7500000.00,C9000000016,7500000.00,0.00,C9000000017,100.00,7500100.00,1,0
130,DEBIT,50000.00,C9000000018,100000.00,50000.00,C9000000019,0.00,50000.00,0,0
130,PAYMENT,50000.00,C9000000019,50000.00,0.00,M9000000004,0.00,0.00,0,0
135,TRANSFER,200000.00,C9000000020,200000.00,0.00,C9000000021,0.00,200000.00,0,0
135,TRANSFER,200000.00,C9000000021,200000.00,0.00,C9000000022,0.00,200000.00,0,0
140,CASH_OUT,1.00,C9000000023,1000.00,999.00,C9000000024,0.00,1.00,0,0
140,PAYMENT,999.00,C9000000023,999.00,0.00,M9000000005,0.00,0.00,0,0
145,TRANSFER,8888888.88,C9000000025,9000000.00,111111.12,C9000000026,0.00,8888888.88,1,0
145,CASH_OUT,8888888.88,C9000000026,8888888.88,0.00,C9000000027,1000.00,8889888.88,1,0
