step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
10,TRANSFER,1234567.89,C1000000001,1500000.00,265432.11,C2000000001,0.00,1234567.89,1,0
10,CASH_OUT,1234567.89,C2000000001,1234567.89,0.00,C3000000001,0.00,1234567.89,1,0
15,TRANSFER,987654.32,C1000000002,1000000.00,12345.68,C2000000002,0.00,987654.32,1,0
15,CASH_OUT,987654.32,C2000000002,987654.32,0.00,C3000000002,500.00,988154.32,1,0
20,TRANSFER,2500000.00,C1000000003,3000000.00,500000.00,C2000000003,0.00,2500000.00,1,0
20,CASH_OUT,2500000.00,C2000000003,2500000.00,0.00,C3000000003,1000.00,2501000.00,1,0
25,TRANSFER,5000000.00,C1000000004,5500000.00,500000.00,C2000000004,0.00,5000000.00,1,0
25,CASH_OUT,5000000.00,C2000000004,5000000.00,0.00,C3000000004,2000.00,5002000.00,1,0
30,TRANSFER,750000.00,C1000000005,800000.00,50000.00,C2000000005,0.00,750000.00,1,0
30,CASH_OUT,750000.00,C2000000005,750000.00,0.00,C3000000005,100.00,750100.00,1,0
35,TRANSFER,3200000.00,C1000000006,4000000.00,800000.00,C2000000006,0.00,3200000.00,1,0
35,CASH_OUT,3200000.00,C2000000006,3200000.00,0.00,C3000000006,5000.00,3205000.00,1,0
40,TRANSFER,1500000.00,C1000000007,2000000.00,500000.00,C2000000007,0.00,1500000.00,1,0
40,CASH_OUT,1500000.00,C2000000007,1500000.00,0.00,C3000000007,0.00,1500000.00,1,0
45,TRANSFER,6000000.00,C1000000008,7000000.00,1000000.00,C2000000008,0.00,6000000.00,1,0
45,CASH_OUT,6000000.00,C2000000008,6000000.00,0.00,C3000000008,10000.00,6010000.00,1,0
50,TRANSFER,850000.00,C1000000009,900000.00,50000.00,C2000000009,0.00,850000.00,1,0
50,CASH_OUT,850000.00,C2000000009,850000.00,0.00,C3000000009,200.00,850200.00,1,0
55,TRANSFER,4500000.00,C1000000010,5000000.00,500000.00,C2000000010,0.00,4500000.00,1,0
55,CASH_OUT,4500000.00,C2000000010,4500000.00,0.00,C3000000010,3000.00,4503000.00,1,0
