step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
5,PAYMENT,450.50,C5000000001,5000.00,4549.50,M1000000001,0.00,0.00,0,0
5,DEBIT,120.00,C5000000002,3500.00,3380.00,C5000000003,1000.00,1120.00,0,0
6,PAYMENT,89.99,C5000000003,1120.00,1030.01,M1000000002,0.00,0.00,0,0
6,CASH_OUT,500.00,C5000000004,2000.00,1500.00,C5000000005,0.00,500.00,0,0
7,PAYMENT,1250.75,C5000000005,5500.00,4249.25,M1000000003,0.00,0.00,0,0
7,DEBIT,200.00,C5000000006,8000.00,7800.00,C5000000007,500.00,700.00,0,0
8,PAYMENT,75.30,C5000000007,700.00,624.70,M1000000004,0.00,0.00,0,0
8,TRANSFER,1000.00,C5000000008,10000.00,9000.00,C5000000009,2000.00,3000.00,0,0
9,PAYMENT,320.50,C5000000009,3000.00,2679.50,M1000000005,0.00,0.00,0,0
9,DEBIT,150.00,C5000000010,4000.00,3850.00,C5000000011,100.00,250.00,0,0
10,PAYMENT,680.25,C5000000011,250.00,0.00,M1000000006,0.00,0.00,0,0
10,CASH_OUT,200.00,C5000000012,1500.00,1300.00,C5000000013,50.00,250.00,0,0
11,PAYMENT,99.99,C5000000013,250.00,150.01,M1000000007,0.00,0.00,0,0
11,DEBIT,300.00,C5000000014,5000.00,4700.00,C5000000015,800.00,1100.00,0,0
12,PAYMENT,155.00,C5000000015,1100.00,945.00,M1000000008,0.00,0.00,0,0
12,TRANSFER,2000.00,C5000000016,15000.00,13000.00,C5000000017,3000.00,5000.00,0,0
13,PAYMENT,425.80,C5000000017,5000.00,4574.20,M1000000009,0.00,0.00,0,0
13,DEBIT,80.00,C5000000018,2500.00,2420.00,C5000000019,600.00,680.00,0,0
14,PAYMENT,220.50,C5000000019,680.00,459.50,M1000000010,0.00,0.00,0,0
14,CASH_OUT,300.00,C5000000020,1800.00,1500.00,C5000000021,100.00,400.00,0,0
