step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,PAYMENT,9839.64,C1231006815,170136.00,160296.36,M1979787155,0.00,0.00,0,0
1,PAYMENT,1864.28,C1666544295,21249.00,19384.72,M2044282225,0.00,0.00,0,0
1,TRANSFER,181.00,C1305486145,181.00,0.00,C553264065,0.00,0.00,1,0
1,CASH_OUT,181.00,C840083671,181.00,0.00,C38997010,21182.00,0.00,1,0
1,PAYMENT,11668.14,C2048537720,41554.00,29885.86,M1230701703,0.00,0.00,0,0
2,PAYMENT,2237.93,C1670993182,19617.00,17379.07,M573487274,0.00,0.00,0,0
2,DEBIT,5024.36,C1690263408,42803.00,37778.64,C1378644910,0.00,0.00,0,0
2,DEBIT,30570.00,C1184893843,30570.00,0.00,C1378644910,0.00,0.00,0,0
2,TRANSFER,208117.47,C1925573033,1313839.00,1105721.53,C1378644910,0.00,0.00,0,0
2,CASH_OUT,500000.00,C1915112886,500000.00,0.00,C621007706,2264.00,502264.00,1,0
3,CASH_OUT,229133.94,C905080434,15325.00,0.00,C476402209,5083.00,51060.00,0,0
3,PAYMENT,1563.82,C761750706,450.00,0.00,M1473681719,0.00,0.00,0,0
3,DEBIT,52237.27,C1670993182,17379.07,0.00,C1378644910,0.00,0.00,0,0
3,PAYMENT,1157.86,C1793744661,29885.86,28727.99,M1994655461,0.00,0.00,0,0
3,TRANSFER,350000.00,C982551468,850000.00,500000.00,C932583850,0.00,350000.00,1,0
4,DEBIT,974.04,C1564008052,4465.00,3490.96,C1378644910,0.00,0.00,0,0
4,CASH_OUT,1000.00,C1533969011,1000.00,0.00,C1865611959,0.00,0.00,0,0
4,PAYMENT,3668.99,C1275340593,28727.99,25059.00,M1572967028,0.00,0.00,0,0
4,TRANSFER,4000000.00,C1957235064,5340678.00,1340678.00,C1161423763,0.00,4000000.00,1,0
4,PAYMENT,10442.11,C908830738,25059.00,14616.89,M348934600,0.00,0.00,0,0
5,TRANSFER,311685.89,C1984094095,10835.00,0.00,C932583850,350000.00,661685.89,1,0
5,CASH_OUT,110642.32,C761750706,0.00,0.00,C807148866,80836.00,191478.32,0,0
5,PAYMENT,9644.94,C1131750235,14616.89,4971.95,M1691435668,0.00,0.00,0,0
5,DEBIT,3099.97,C840083671,0.00,0.00,C1378644910,0.00,0.00,0,0
5,CASH_OUT,2560000.00,C1957235064,1340678.00,0.00,C621007706,502264.00,3062264.00,1,0
